rank,compound_id,vina_score_kcal_mol,class,measured_potency_nM
250,CHEMBL14179,-6.32,decoy,
251,CHEMBL266081,-6.32,decoy,
252,CHEMBL269664,-6.32,decoy,
253,CHEMBL275333,-6.32,decoy,
254,CHEMBL7785,-6.32,decoy,
255,CHEMBL9208,-6.32,decoy,
256,CHEMBL578162,-6.31,active,0.3
257,CHEMBL12304,-6.31,decoy,
258,CHEMBL12714,-6.31,decoy,
259,CHEMBL14202,-6.31,decoy,
260,CHEMBL6262,-6.31,decoy,
261,CHEMBL21203,-6.3,decoy,
262,CHEMBL268769,-6.3,decoy,
263,CHEMBL276605,-6.3,decoy,
264,CHEMBL6214,-6.3,decoy,
265,CHEMBL9641,-6.29,decoy,
266,CHEMBL567340,-6.28,active,1.0
267,CHEMBL267628,-6.28,decoy,
268,CHEMBL276670,-6.28,decoy,
269,CHEMBL11097,-6.27,decoy,
270,CHEMBL274037,-6.27,decoy,
271,CHEMBL280208,-6.27,decoy,
272,CHEMBL30241,-6.27,decoy,
273,CHEMBL428889,-6.27,decoy,
274,CHEMBL10830,-6.26,decoy,
275,CHEMBL14378,-6.26,decoy,
276,CHEMBL20006,-6.26,decoy,
277,CHEMBL265667,-6.26,decoy,
278,CHEMBL269663,-6.26,decoy,
279,CHEMBL275034,-6.26,decoy,
280,CHEMBL279587,-6.26,decoy,
281,CHEMBL279615,-6.26,decoy,
282,CHEMBL6291,-6.26,decoy,
283,CHEMBL6362,-6.26,decoy,
284,CHEMBL17479,-6.25,decoy,
285,CHEMBL415974,-6.25,decoy,
286,CHEMBL9618,-6.25,decoy,
287,CHEMBL9619,-6.25,decoy,
288,CHEMBL20311,-6.24,decoy,
289,CHEMBL20983,-6.24,decoy,
290,CHEMBL276248,-6.24,decoy,
291,CHEMBL277348,-6.24,decoy,
292,CHEMBL6272,-6.24,decoy,
293,CHEMBL12409,-6.23,decoy,
294,CHEMBL13989,-6.23,decoy,
295,CHEMBL275730,-6.23,decoy,
296,CHEMBL276629,-6.23,decoy,
297,CHEMBL30134,-6.23,decoy,
298,CHEMBL567341,-6.22,active,0.2
299,CHEMBL10696,-6.22,decoy,
300,CHEMBL12484,-6.22,decoy,
301,CHEMBL276406,-6.22,decoy,
302,CHEMBL6226,-6.22,decoy,
303,CHEMBL6340,-6.22,decoy,
